Last Scraped;Experiences Offered;Host Since;Host Response Rate;Host Acceptance Rate;Host Listings Count;Host Total Listings Count;Neighbourhood;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Calendar Updated;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Calendar last Scraped;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;License;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
2017-04-08;none;2015-07-31;50.0;;1.0;1.0;;Puerta del Angel;Latina;28011;40.41308088933374;-3.725059671733627;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;;20.0;130.0;420.0;;;1;6;7;1125;3 months ago;;0;0;0;0;2017-04-08;10;2015-08-11;2016-03-22;68.0;8.0;6.0;9.0;9.0;9.0;7.0;;;moderate;1.0;0.49;40.4130808893,-3.72505967173
2017-04-08;none;2014-01-15;100.0;;1.0;1.0;Malasaña;Universidad;Centro;28004;40.42582700488339;-3.7035393088124486;House;Private room;2;1.0;1.0;1.0;Real Bed;;30.0;180.0;550.0;;;1;5;1;1125;2 weeks ago;;0;0;7;282;2017-04-08;37;2014-08-21;2017-01-29;92.0;10.0;10.0;10.0;9.0;10.0;9.0;;;flexible;1.0;1.15;40.4258270049,-3.70353930881
2017-04-08;none;2013-10-03;100.0;;3.0;3.0;;Palacio;Centro;28005;40.412514274827096;-3.7111563887285715;Other;Entire home/apt;4;2.0;2.0;2.0;Real Bed;;70.0;;;350.0;30.0;1;20;2;1125;today;;13;27;42;308;2017-04-08;2;2016-11-27;2017-01-02;90.0;10.0;9.0;10.0;9.0;10.0;9.0;;;moderate;3.0;0.45;40.4125142748,-3.71115638873
2017-04-08;none;2016-01-23;89.0;;1.0;1.0;Villa de Vallecas;Casco Histórico de Vallecas;Villa de Vallecas;28051;40.360175908544434;-3.594642722906672;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;;50.0;;;500.0;25.0;3;0;1;1125;5 days ago;;17;47;75;76;2017-04-07;10;2016-02-20;2017-03-20;94.0;9.0;9.0;9.0;9.0;9.0;9.0;;;moderate;1.0;0.72;40.3601759085,-3.59464272291
2017-04-08;none;2017-03-08;100.0;;8.0;8.0;;Palacio;Centro;28013;40.422218029977046;-3.710651041459587;Apartment;Entire home/apt;6;1.0;1.0;3.0;Real Bed;;75.0;;;;;2;25;2;1125;today;;4;13;27;269;2017-04-08;0;;;;;;;;;;;;moderate;6.0;;40.42221803,-3.71065104146
2017-04-08;none;2014-09-26;100.0;;4.0;4.0;Lista;Lista;Salamanca;28006;40.43540412485869;-3.6768890492222;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;30.0;259.0;1000.0;100.0;;1;15;1;1125;a week ago;;16;46;72;204;2017-04-08;168;2014-10-27;2017-04-04;97.0;10.0;10.0;10.0;10.0;10.0;10.0;;;strict;4.0;5.63;40.4354041249,-3.67688904922
2017-04-08;none;2013-07-02;100.0;;4.0;4.0;Justicia;Universidad;Centro;28004;40.42272598816175;-3.700843030188862;Apartment;Entire home/apt;10;2.0;3.0;6.0;Real Bed;;189.0;;;100.0;50.0;6;29;2;1125;today;;15;33;60;332;2017-04-08;32;2015-11-23;2017-03-26;77.0;8.0;8.0;9.0;9.0;10.0;8.0;;;strict;3.0;1.91;40.4227259882,-3.70084303019
2017-04-08;none;2013-06-03;100.0;;1.0;1.0;Rios Rosas;Rios Rosas;Chamberí;28003;40.44259562279864;-3.6978011766097283;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;;45.0;315.0;775.0;;15.0;1;0;3;1125;4 days ago;;0;6;31;227;2017-04-08;33;2015-04-15;2016-10-19;91.0;9.0;9.0;10.0;9.0;9.0;9.0;;;strict;1.0;1.37;40.4425956228,-3.69780117661
2017-04-08;none;2012-04-10;;;2.0;2.0;Cuatro Caminos;Cuatro Caminos;Tetuán;28020;40.454825116356346;-3.6999404208455777;Apartment;Private room;1;;1.0;1.0;Real Bed;;25.0;150.0;395.0;;25.0;1;15;7;1125;2 months ago;;30;38;38;263;2017-04-08;3;2013-10-29;2015-10-11;80.0;9.0;9.0;8.0;9.0;9.0;8.0;;;strict;2.0;0.07;40.4548251164,-3.69994042085
2017-03-04;none;2015-12-14;90.0;;10.0;10.0;Soho;Westminster;;W1F 0RH;51.51171869744958;-0.13506388678771158;Apartment;Private room;2;1.0;0.0;1.0;Real Bed;;125.0;;;150.0;;1;0;1;1125;today;;12;26;26;26;2017-03-04;44;2016-05-06;2017-02-14;86.0;9.0;9.0;9.0;9.0;10.0;8.0;;;strict;10.0;4.36;51.5117186974,-0.135063886788
